[info][server.go:46] 2025/03/11 12:59:13 [Server Listen at  127.0.0.1 : 6380]
[info][server.go:93] 2025/03/11 12:59:17 [127.0.0.1:46392  connected]
[error][parser.go:83] 2025/03/11 12:59:17 [read tcp 127.0.0.1:6380->127.0.0.1:46392: read: connection reset by peer]
[panic][db_manager.go:88] 2025/03/11 12:59:17 [Handle connection  127.0.0.1:46392  panic:  read tcp 127.0.0.1:6380->127.0.0.1:46392: read: connection reset by peer]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38308  connected]
[info][db_manager.go:86] 2025/03/11 12:59:24 [Close connection  127.0.0.1:38308]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38312  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38326  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38336  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38340  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38346  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38354  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38366  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38374  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38388  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38404  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38408  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38414  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38426  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38430  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38444  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38458  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38472  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38474  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38486  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38498  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38510  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38526  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38528  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38532  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38546  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38558  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38570  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38572  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38582  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38584  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38596  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38610  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38616  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38618  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38622  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38638  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38640  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38652  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38656  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38660  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38672  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38680  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38688  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38690  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38704  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38706  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38714  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38722  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38724  connected]
[info][server.go:93] 2025/03/11 12:59:24 [127.0.0.1:38734  connected]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38430]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38722]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38546]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38444]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38340]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38388]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38660]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38714]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38498]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38404]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38326]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38618]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38640]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38570]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38354]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38622]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38486]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38408]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38680]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38474]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38458]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38672]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38616]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38734]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38414]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38596]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38336]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38690]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38706]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38510]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38638]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38366]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38346]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38526]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38584]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38572]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38532]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38610]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38426]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38558]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38374]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38312]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38688]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38528]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38582]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38704]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38656]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38652]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38472]
[info][db_manager.go:86] 2025/03/11 12:59:28 [Close connection  127.0.0.1:38724]
[info][server.go:107] 2025/03/11 13:00:28 [Terminate]
[info][server.go:32] 2025/03/11 13:00:28 [shutting down gracefully]
